original_filename,tpl_name,version
guava-15.0.jar,guava,15.0
halfnarp-client-2.0.0.jar,halfnarp-client,2.0.0
hamcrest-core-1.3.jar,hamcrest-core,1.3
http-request-5.6.jar,http-request,5.6
httpclient-4.3.6.jar,httpclient,4.3.6
httpcore-4.3.2.jar,httpcore,4.3.2
httpcore-4.2.1.jar,httpcore,4.2.1
httpcore-4.4.3.jar,httpcore,4.4.3
httpmime-4.2.1.jar,httpmime,4.2.1
ini4j-0.5.4.jar,ini4j,0.5.4
internal_impl-24.0.0.jar,internal_impl,24.0.0
internal_impl-23.3.0.jar,internal_impl,23.3.0
internal_impl-20.0.0.jar,internal_impl,20.0.0
internal_impl-23.1.1.jar,internal_impl,23.1.1
internal_impl-23.1.0.jar,internal_impl,23.1.0
internal_impl-21.0.0.jar,internal_impl,21.0.0
internal_impl-22.1.1.jar,internal_impl,22.1.1
internal_impl-21.0.3.jar,internal_impl,21.0.3
internal_impl-21.0.2.jar,internal_impl,21.0.2
internal_impl-23.0.0.jar,internal_impl,23.0.0
internal_impl-23.0.1.jar,internal_impl,23.0.1
internal_impl-24.0.0-beta1.jar,internal_impl,24.0.0-beta1
internal_impl-23.2.1.jar,internal_impl,23.2.1
internal_impl-23.2.0.jar,internal_impl,23.2.0
internal_impl-22.2.1.jar,internal_impl,22.2.1
internal_impl-22.2.0.jar,internal_impl,22.2.0
internal_impl-22.0.0.jar,internal_impl,22.0.0
internal_impl-23.4.0.jar,internal_impl,23.4.0
jackson-annotations-2.5.0.jar,jackson-annotations,2.5.0
jackson-annotations-2.4.0.jar,jackson-annotations,2.4.0
jackson-annotations-2.6.0.jar,jackson-annotations,2.6.0
jackson-core-2.3.3.jar,jackson-core,2.3.3
jackson-core-2.7.3.jar,jackson-core,2.7.3
jackson-core-2.5.1.jar,jackson-core,2.5.1
jackson-core-2.6.3.jar,jackson-core,2.6.3
jackson-core-2.6.1.jar,jackson-core,2.6.1
jackson-core-2.4.2.jar,jackson-core,2.4.2
jackson-databind-2.5.1.jar,jackson-databind,2.5.1
jackson-databind-2.6.3.jar,jackson-databind,2.6.3
jackson-databind-2.6.1.jar,jackson-databind,2.6.1
jackson-databind-2.4.2.jar,jackson-databind,2.4.2
java-semver-0.9.0.jar,java-semver,0.9.0
javassist-3.18.1-GA.jar,javassist,3.18.1-GA
javawriter-2.5.0.jar,javawriter,2.5.0
javax.inject-1.jar,javax.inject,1
jeromq-0.3.5.jar,jeromq,0.3.5
jmdns-3.4.1.jar,jmdns,3.4.1
joda-time-2.6.jar,joda-time,2.6
joda-time-2.9.1.jar,joda-time,2.9.1
joda-time-2.9.3.jar,joda-time,2.9.3
jp.wasabeef.glide-transformations.2.0.1.jar,jp.wasabeef.glide-transformations,2.0.1
jp.wasabeef.richeditor-android.1.2.0.jar,jp.wasabeef.richeditor-android,1.2.0
jsch-0.1.51.jar,jsch,0.1.51
json-simple-1.1.1.jar,json-simple,1.1.1
jsoup-1.8.1.jar,jsoup,1.8.1
jsoup-1.8.2.jar,jsoup,1.8.2
jsoup-1.8.3.jar,jsoup,1.8.3
jsoup-1.9.2.jar,jsoup,1.9.2
jsoup-1.9.1.jar,jsoup,1.9.1
jsoup-1.7.3.jar,jsoup,1.7.3
jsr250-api-1.0.jar,jsr250-api,1.0
jsr305-2.0.1.jar,jsr305,2.0.1
jsr305-3.0.0.jar,jsr305,3.0.0
junidecode-v0.2.jar,junidecode,v0.2
junit-4.12.jar,junit,4.12
juniversalchardet-1.0.3.jar,juniversalchardet,1.0.3
kolabnotes-java-3.3.4.jar,kolabnotes-java,3.3.4
kore-javamail-1.0.2.jar,kore-javamail,1.0.2
lib-recur-0.9.3.jar,lib-recur,0.9.3
library-2.4.0.jar,library,2.4.0
logback-android-classic-1.1.1-3.jar,logback-android-classic,1.1.1-3
logback-android-core-1.1.1-3.jar,logback-android-core,1.1.1-3
lombok-1.16.2.jar,lombok,1.16.2
