original_filename,tpl_name,version
androidx.savedstate.savedstate-ktx-1.1.0.jar,androidx.savedstate.savedstate-ktx,1.1.0
androidx.savedstate.savedstate-ktx-1.2.0.jar,androidx.savedstate.savedstate-ktx,1.2.0
androidx.slidingpanelayout.slidingpanelayout-1.0.0.jar,androidx.slidingpanelayout.slidingpanelayout,1.0.0
androidx.slidingpanelayout.slidingpanelayout-1.2.0.jar,androidx.slidingpanelayout.slidingpanelayout,1.2.0
androidx.sqlite.sqlite-2.2.0.jar,androidx.sqlite.sqlite,2.2.0
androidx.sqlite.sqlite-2.3.0.jar,androidx.sqlite.sqlite,2.3.0
androidx.sqlite.sqlite-framework-2.2.0.jar,androidx.sqlite.sqlite-framework,2.2.0
androidx.sqlite.sqlite-framework-2.3.0.jar,androidx.sqlite.sqlite-framework,2.3.0
androidx.startup.startup-runtime-1.0.0.jar,androidx.startup.startup-runtime,1.0.0
androidx.startup.startup-runtime-1.1.1.jar,androidx.startup.startup-runtime,1.1.1
androidx.swiperefreshlayout.swiperefreshlayout-1.0.0.jar,androidx.swiperefreshlayout.swiperefreshlayout,1.0.0
androidx.swiperefreshlayout.swiperefreshlayout-1.1.0.jar,androidx.swiperefreshlayout.swiperefreshlayout,1.1.0
androidx.transition.transition-1.0.0.jar,androidx.transition.transition,1.0.0
androidx.transition.transition-1.2.0.jar,androidx.transition.transition,1.2.0
androidx.transition.transition-1.3.0.jar,androidx.transition.transition,1.3.0
androidx.transition.transition-1.4.1.jar,androidx.transition.transition,1.4.1
androidx.vectordrawable.vectordrawable-1.0.0.jar,androidx.vectordrawable.vectordrawable,1.0.0
androidx.vectordrawable.vectordrawable-1.1.0.jar,androidx.vectordrawable.vectordrawable,1.1.0
androidx.vectordrawable.vectordrawable-animated-1.0.0.jar,androidx.vectordrawable.vectordrawable-animated,1.0.0
androidx.vectordrawable.vectordrawable-animated-1.1.0.jar,androidx.vectordrawable.vectordrawable-animated,1.1.0
androidx.versionedparcelable.versionedparcelable-1.0.0.jar,androidx.versionedparcelable.versionedparcelable,1.0.0
androidx.versionedparcelable.versionedparcelable-1.1.0.jar,androidx.versionedparcelable.versionedparcelable,1.1.0
androidx.versionedparcelable.versionedparcelable-1.1.1.jar,androidx.versionedparcelable.versionedparcelable,1.1.1
androidx.viewpager.viewpager-1.0.0.jar,androidx.viewpager.viewpager,1.0.0
androidx.viewpager2.viewpager2-1.0.0.jar,androidx.viewpager2.viewpager2,1.0.0
androidx.viewpager2.viewpager2-1.1.0-beta01.jar,androidx.viewpager2.viewpager2,1.1.0-beta01
androidx.webkit.webkit-1.4.0.jar,androidx.webkit.webkit,1.4.0
androidx.work.work-runtime-2.7.1.jar,androidx.work.work-runtime,2.7.1
androidx.work.work-runtime-ktx-2.7.1.jar,androidx.work.work-runtime-ktx,2.7.1
annotation-1.0.0.jar,annotation,1.0.0
annotation-1.1.0.jar,annotation,1.1.0
annotation-1.2.0.jar,annotation,1.2.0
annotation-1.3.0.jar,annotation,1.3.0
annotations-13.0.jar,annotations,13.0
collection-1.0.0.jar,collection,1.0.0
collection-1.1.0.jar,collection,1.1.0
collection-ktx-1.1.0.jar,collection-ktx,1.1.0
collections-28.0.0.jar,collections,28.0.0
com.android.billingclient.billing-2.1.0.jar,com.android.billingclient.billing,2.1.0
com.android.support.animated-vector-drawable-26.1.0.jar,com.android.support.animated-vector-drawable,26.1.0
com.android.support.animated-vector-drawable-28.0.0.jar,com.android.support.animated-vector-drawable,28.0.0
com.android.support.animated-vector-drawable.23.2.1.jar,com.android.support.animated-vector-drawable,23.2.1
com.android.support.appcompat-v7-21.0.3.jar,com.android.support.appcompat-v7,21.0.3
com.android.support.appcompat-v7-23.1.1.jar,com.android.support.appcompat-v7,23.1.1
com.android.support.appcompat-v7-26.1.0.jar,com.android.support.appcompat-v7,26.1.0
com.android.support.appcompat-v7-28.0.0.jar,com.android.support.appcompat-v7,28.0.0
com.android.support.appcompat-v7.23.2.1.jar,com.android.support.appcompat-v7,23.2.1
com.android.support.asynclayoutinflater-28.0.0.jar,com.android.support.asynclayoutinflater,28.0.0
com.android.support.cardview-v7-21.0.3.jar,com.android.support.cardview-v7,21.0.3
com.android.support.constraint.constraint-layout-1.1.3.jar,com.android.support.constraint.constraint-layout,1.1.3
com.android.support.coordinatorlayout-28.0.0.jar,com.android.support.coordinatorlayout,28.0.0
com.android.support.cursoradapter-28.0.0.jar,com.android.support.cursoradapter,28.0.0
com.android.support.customview-28.0.0.jar,com.android.support.customview,28.0.0
com.android.support.design.23.2.1.jar,com.android.support.design,23.2.1
com.android.support.documentfile-28.0.0.jar,com.android.support.documentfile,28.0.0
com.android.support.drawerlayout-28.0.0.jar,com.android.support.drawerlayout,28.0.0
com.android.support.interpolator-28.0.0.jar,com.android.support.interpolator,28.0.0
com.android.support.loader-28.0.0.jar,com.android.support.loader,28.0.0
com.android.support.localbroadcastmanager-28.0.0.jar,com.android.support.localbroadcastmanager,28.0.0
